log_price,accommodates,bathrooms,bedrooms,beds,number_of_reviews,review_scores_rating
5.010635294096256,3,1.0,1.0,1.0,2,100.0
5.1298987149230735,7,1.0,3.0,3.0,6,93.0
4.976733742420574,5,1.0,1.0,3.0,10,92.0
4.74493212836325,2,1.0,0.0,1.0,4,40.0
4.442651256490317,2,1.0,1.0,1.0,3,100.0
4.4188406077965965,3,1.0,1.0,1.0,15,97.0
4.787491742782046,2,1.0,1.0,1.0,9,93.0
4.787491742782046,2,1.0,1.0,1.0,159,99.0
3.58351893845611,2,1.0,1.0,1.0,2,90.0
4.605170185988092,2,1.0,1.0,1.0,82,93.0
5.010635294096256,4,1.5,2.0,2.0,29,97.0
5.298317366548036,6,1.5,2.0,3.0,13,89.0
4.955827057601262,2,1.0,1.0,1.0,2,100.0
4.31748811353631,2,1.0,1.0,1.0,15,91.0
4.59511985013459,2,2.0,1.0,1.0,12,88.0
4.882801922586372,2,1.0,1.0,2.0,26,86.0
4.59511985013459,8,1.0,3.0,3.0,5,72.0
4.382026634673881,2,1.0,1.0,1.0,26,98.0
3.688879454113936,2,1.5,1.0,1.0,57,89.0
4.90527477843843,4,1.0,1.0,1.0,73,99.0
4.007333185232471,2,1.0,1.0,1.0,2,100.0
5.003946305945459,6,1.0,3.0,3.0,14,100.0
4.553876891600541,2,1.0,1.0,1.0,1,100.0
5.003946305945459,4,1.0,2.0,2.0,4,100.0
5.1929568508902095,3,1.0,1.0,2.0,4,95.0
4.653960350157523,3,1.0,1.0,2.0,40,88.0
4.31748811353631,2,1.0,1.0,1.0,1,100.0
5.220355825078324,4,1.0,2.0,3.0,248,96.0
4.48863636973214,1,1.0,1.0,1.0,46,99.0
4.382026634673881,2,1.0,1.0,1.0,17,96.0
4.8283137373023015,2,1.0,1.0,1.0,138,96.0
3.912023005428147,1,1.0,1.0,1.0,11,84.0
4.74493212836325,2,1.0,1.0,1.0,2,100.0
4.68213122712422,2,1.0,1.0,1.0,40,96.0
4.31748811353631,8,1.0,1.0,7.0,44,92.0
4.997212273764115,4,1.5,2.0,2.0,29,95.0
5.783825182329737,2,1.0,1.0,1.0,1,80.0
4.007333185232471,2,1.0,1.0,1.0,34,88.0
4.158883083359672,2,1.0,1.0,1.0,85,96.0
6.620073206530356,6,2.0,3.0,3.0,18,97.0
4.7791234931115305,2,1.0,1.0,1.0,3,100.0
4.74493212836325,5,1.0,0.0,2.0,1,100.0
4.68213122712422,2,1.0,1.0,1.0,31,94.0
4.948759890378168,2,1.0,1.0,1.0,2,80.0
3.688879454113936,2,1.0,3.0,1.0,9,100.0
5.857933154483459,4,1.0,2.0,2.0,3,93.0
4.8283137373023015,6,1.0,2.0,4.0,5,100.0
4.4998096703302615,3,1.0,1.0,1.0,1,100.0
4.691347882229144,3,1.0,1.0,1.0,1,100.0
4.7791234931115305,6,2.0,2.0,2.0,30,89.0
4.4998096703302615,2,1.0,0.0,1.0,4,100.0
4.7791234931115305,2,1.0,1.0,1.0,6,100.0
3.80666248977032,2,1.0,1.0,1.0,19,87.0
5.1647859739235145,2,2.0,1.0,1.0,25,100.0
4.700480365792417,2,1.0,2.0,2.0,6,100.0
3.80666248977032,1,1.0,1.0,1.0,5,80.0
5.857933154483459,3,1.0,1.0,1.0,3,100.0
4.574710978503383,6,1.0,1.0,6.0,22,96.0
4.0943445622221,2,1.0,1.0,1.0,3,80.0
5.010635294096256,1,1.0,1.0,1.0,1,100.0
4.859812404361672,4,1.0,1.0,2.0,31,93.0
5.087596335232384,7,2.0,2.0,3.0,6,84.0
3.871201010907892,4,1.0,1.0,2.0,10,92.0
5.5606816310155285,4,2.5,2.0,2.0,1,100.0
3.80666248977032,1,1.0,1.0,1.0,4,95.0
4.0943445622221,3,1.0,1.0,1.0,1,80.0
4.700480365792417,3,1.0,1.0,1.0,18,97.0
4.248495242049359,1,1.0,0.0,1.0,2,100.0
4.605170185988092,4,1.0,1.0,3.0,15,100.0
4.804021044733257,2,1.0,0.0,1.0,2,100.0
4.927253685157205,2,1.0,1.0,1.0,23,89.0
4.174387269895637,2,1.0,0.0,1.0,5,80.0
4.007333185232471,2,1.0,1.0,1.0,28,99.0
4.8283137373023015,2,1.0,1.0,1.0,1,80.0
3.688879454113936,2,1.0,1.0,1.0,7,94.0
6.171700597410915,9,3.0,4.0,4.0,32,96.0
6.551080335043403,6,2.0,3.0,2.0,18,99.0
4.007333185232471,2,1.0,1.0,2.0,144,96.0
5.293304824724492,9,2.0,2.0,5.0,10,96.0
4.0943445622221,2,1.0,1.0,1.0,5,85.0
4.976733742420574,3,1.0,1.0,1.0,16,94.0
3.912023005428147,1,1.0,1.0,1.0,3,100.0
4.174387269895637,2,1.0,1.0,2.0,7,94.0
4.060443010546419,2,1.0,1.0,1.0,1,100.0
4.90527477843843,2,1.0,1.0,1.0,38,88.0
4.653960350157523,2,1.0,1.0,2.0,14,89.0
4.48863636973214,1,1.0,1.0,1.0,7,93.0
5.634789603169249,8,2.0,3.0,3.0,3,90.0
5.783825182329737,4,2.0,2.0,2.0,9,100.0
4.31748811353631,4,1.0,1.0,2.0,105,89.0
5.937536205082426,10,2.0,3.0,4.0,59,96.0
4.0943445622221,6,1.0,2.0,3.0,1,100.0
4.382026634673881,2,1.0,1.0,1.0,67,99.0
4.867534450455582,3,1.0,1.0,1.0,3,93.0
5.068904202220232,3,1.0,2.0,2.0,10,98.0
4.127134385045092,2,1.0,0.0,1.0,16,96.0
5.298317366548036,7,1.0,2.0,2.0,3,100.0
4.465908118654584,2,1.0,1.0,1.0,13,94.0
3.4657359027997265,4,1.5,1.0,4.0,1,100.0
4.962844630259907,2,1.0,1.0,1.0,2,80.0
5.598421958998375,6,1.5,1.0,3.0,1,100.0
4.382026634673881,3,1.0,1.0,1.0,73,98.0
3.871201010907892,3,1.0,1.0,2.0,18,100.0
3.49650756146648,1,1.0,1.0,1.0,9,80.0
5.6167710976665735,4,2.0,2.0,4.0,23,90.0
4.700480365792417,3,1.0,2.0,1.0,4,70.0
4.934473933130692,3,1.0,1.0,1.0,15,99.0
4.8283137373023015,4,1.0,2.0,2.0,18,90.0
4.605170185988092,2,1.0,1.0,1.0,21,86.0
4.48863636973214,2,1.0,0.0,1.0,120,90.0
6.745236349484363,2,2.0,1.0,1.0,5,100.0
4.007333185232471,1,1.0,1.0,1.0,1,100.0
3.555348061489413,2,1.0,1.0,1.0,10,98.0
6.214608098422191,7,2.5,3.0,4.0,10,98.0
6.527957917622548,4,2.0,3.0,3.0,3,100.0
5.010635294096256,4,1.0,2.0,3.0,25,94.0
4.248495242049359,2,1.0,1.0,1.0,8,93.0
4.605170185988092,2,1.0,1.0,1.0,9,96.0
4.605170185988092,4,1.0,1.0,2.0,2,60.0
5.541263545158426,2,1.0,1.0,1.0,2,100.0
4.605170185988092,4,1.0,2.0,2.0,61,99.0
5.081404364984463,2,1.0,1.0,1.0,4,100.0
4.4998096703302615,2,1.0,0.0,1.0,87,88.0
4.605170185988092,1,1.0,1.0,1.0,13,95.0
2.9444389791664403,1,1.0,1.0,1.0,3,100.0
4.394449154672439,1,1.0,1.0,1.0,2,70.0
5.575949103146316,5,1.0,2.0,3.0,15,97.0
4.897839799950911,2,1.0,1.0,1.0,206,91.0
5.48063892334199,6,2.0,2.0,3.0,26,100.0
